Concurso_Participante,Data da Inscrição,Concurso_Status,Concurso_Largura,Concurso_Altura,um,Landscape,Retrato,Quadrada,Formato,Concurso_Legenda
continuous,time,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,"colors={'Aceita':\ '#46BEFA',\ 'Removida':\ '#ED462F',\ 'Rejeitada':\ '#AAF22B'}",palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,palette=linear_bgyw_20_98_c66,"colors={'Paisagem':\ '#46BEFA',\ 'Quadrada':\ '#ED462F',\ 'Retrato':\ '#AAF22B'}",meta title=True unidade=1
12127.0,2021-01-08 08:57:49,Aceita,3280.0,4624.0,1.0,0.0,1.0,0.0,Retrato,Octopus
12127.0,2021-01-08 08:57:49,Aceita,3200.0,4800.0,1.0,0.0,1.0,0.0,Retrato,Não olhe
12127.0,2021-01-08 08:57:49,Aceita,3201.0,4800.0,1.0,0.0,1.0,0.0,Retrato,Dançando no escuro
12127.0,2021-01-08 08:57:49,Aceita,3783.0,3849.0,1.0,0.0,1.0,0.0,Retrato,Embriaguez
12392.0,2021-01-08 11:16:25,Aceita,3000.0,4500.0,1.0,0.0,1.0,0.0,Retrato,Sentido Zona Norte.
12392.0,2021-01-08 11:16:25,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Sentido Zona Sul.
12392.0,2021-01-08 11:16:25,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Rio Branco Impar.
12392.0,2021-01-08 11:16:25,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Passagem do tempo...
7263.0,2021-01-08 12:46:08,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Labuta
7263.0,2021-01-08 12:46:08,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Natureza social
7263.0,2021-01-08 12:46:08,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Urbanidade cotidiana
7263.0,2021-01-08 12:46:08,Aceita,4500.0,3000.0,1.0,1.0,0.0,0.0,Paisagem,Realidade?
5530.0,2021-01-08 13:19:08,Aceita,3500.0,2325.0,1.0,1.0,0.0,0.0,Paisagem,A luz de vela!
5530.0,2021-01-08 13:19:08,Aceita,3500.0,2336.0,1.0,1.0,0.0,0.0,Paisagem,Só ele!
5530.0,2021-01-08 13:19:08,Aceita,3500.0,2334.0,1.0,1.0,0.0,0.0,Paisagem,Exercício de pernas!
5530.0,2021-01-08 13:19:08,Aceita,3500.0,2336.0,1.0,1.0,0.0,0.0,Paisagem,Apagando a sujeira!
12394.0,2021-01-08 18:13:18,Aceita,2529.0,3162.0,1.0,0.0,1.0,0.0,Retrato,Sozinha
12394.0,2021-01-08 18:13:18,Aceita,3167.0,2525.0,1.0,1.0,0.0,0.0,Paisagem,Contando Formigas
12394.0,2021-01-08 18:13:18,Aceita,2309.0,3464.0,1.0,0.0,1.0,0.0,Retrato,Câmara do Café
12394.0,2021-01-08 18:13:18,Aceita,3464.0,2309.0,1.0,1.0,0.0,0.0,Paisagem,Parada pro descanso
8856.0,2021-01-08 18:45:25,Aceita,3372.0,2212.0,1.0,1.0,0.0,0.0,Paisagem,"""Confiança"""
8856.0,2021-01-08 18:45:25,Aceita,3872.0,2592.0,1.0,1.0,0.0,0.0,Paisagem,"""Fazenda"""
8856.0,2021-01-08 18:45:25,Aceita,3006.0,2100.0,1.0,1.0,0.0,0.0,Paisagem,"""Salinas"""
8856.0,2021-01-08 18:45:25,Aceita,3872.0,2592.0,1.0,1.0,0.0,0.0,Paisagem,"""Véu"""
5633.0,2021-01-09 01:08:04,Aceita,3500.0,2321.0,1.0,1.0,0.0,0.0,Paisagem,Saudade Elevado
5633.0,2021-01-09 01:08:04,Aceita,2321.0,3500.0,1.0,0.0,1.0,0.0,Retrato,Flores de Concreto
5633.0,2021-01-09 01:08:04,Aceita,2321.0,3500.0,1.0,0.0,1.0,0.0,Retrato,Mãos Para o Alto
5633.0,2021-01-09 01:08:04,Aceita,3500.0,2307.0,1.0,1.0,0.0,0.0,Paisagem,Pandemico
12391.0,2021-01-09 08:57:00,Aceita,3072.0,2304.0,1.0,1.0,0.0,0.0,Paisagem,Teatro Polytheama- Jundiaí/SP
12391.0,2021-01-09 09:02:13,Aceita,4608.0,3456.0,1.0,1.0,0.0,0.0,Paisagem,Patos na Lagoa Azul - Rio Claro/SP
12391.0,2021-01-09 09:03:28,Aceita,4608.0,3456.0,1.0,1.0,0.0,0.0,Paisagem,Patos nadando a Lagoa Azul -Rio Claro/SP
12391.0,2021-01-09 09:23:22,Aceita,4608.0,3456.0,1.0,1.0,0.0,0.0,Paisagem,Garça -Jundiaí/SP
11189.0,2021-01-09 12:57:23,Aceita,6000.0,3980.0,1.0,1.0,0.0,0.0,Paisagem,Estação da Luz
11189.0,2021-01-09 12:59:03,Aceita,6000.0,4000.0,1.0,1.0,0.0,0.0,Paisagem,Posando no MAC
11189.0,2021-01-09 13:00:45,Aceita,6000.0,4000.0,1.0,1.0,0.0,0.0,Paisagem,Igrejinha de Saquarema
11189.0,2021-01-09 13:01:56,Aceita,4800.0,3200.0,1.0,1.0,0.0,0.0,Paisagem,Passeando no Bosque
12398.0,2021-01-09 14:08:38,Aceita,5184.0,3456.0,1.0,1.0,0.0,0.0,Paisagem,Timidez
12398.0,2021-01-09 14:08:38,Aceita,3456.0,5184.0,1.0,0.0,1.0,0.0,Retrato,Pudor
12398.0,2021-01-09 14:12:05,Aceita,3456.0,5184.0,1.0,0.0,1.0,0.0,Retrato,Modéstia
12133.0,2021-01-09 14:50:39,Aceita,4200.0,2800.0,1.0,1.0,0.0,0.0,Paisagem,2017-07-15.0004
12133.0,2021-01-09 14:50:39,Aceita,4200.0,2800.0,1.0,1.0,0.0,0.0,Paisagem,2017-07-15.0007
12133.0,2021-01-09 14:53:28,Aceita,2800.0,4200.0,1.0,0.0,1.0,0.0,Retrato,2016-07-24.0039
12133.0,2021-01-09 14:53:28,Aceita,2800.0,4200.0,1.0,0.0,1.0,0.0,Retrato,2019-07-13.0008
12399.0,2021-01-09 17:07:31,Aceita,3883.0,3001.0,1.0,1.0,0.0,0.0,Paisagem,Expediente Encerrado
12399.0,2021-01-09 17:07:31,Aceita,3000.0,4500.0,1.0,0.0,1.0,0.0,Retrato,Histórias Sólidas
12399.0,2021-01-09 17:07:31,Aceita,3000.0,4500.0,1.0,0.0,1.0,0.0,Retrato,Arte na Selva
12399.0,2021-01-09 17:07:31,Aceita,3000.0,4500.0,1.0,0.0,1.0,0.0,Retrato,Decomposição
12201.0,2021-01-09 18:17:06,Aceita,1745.0,3000.0,1.0,0.0,1.0,0.0,Retrato,Bora lá!
12201.0,2021-01-09 18:17:06,Aceita,3000.0,2633.0,1.0,1.0,0.0,0.0,Paisagem,Centenária
12201.0,2021-01-09 18:17:06,Aceita,3000.0,1841.0,1.0,1.0,0.0,0.0,Paisagem,Migração
12201.0,2021-01-09 18:17:06,Aceita,3000.0,1458.0,1.0,1.0,0.0,0.0,Paisagem,Rural
